Home,Price,SqFt,Bedrooms,Bathrooms,Offers,Brick_No,Brick_Yes,Neighborhood_East,Neighborhood_North,Neighborhood_West
1,114300,1790,2,2,2,1.0,0.0,1.0,0.0,0.0
2,114200,2030,4,2,3,1.0,0.0,1.0,0.0,0.0
3,114800,1740,3,2,1,1.0,0.0,1.0,0.0,0.0
4,94700,1980,3,2,3,1.0,0.0,1.0,0.0,0.0
5,119800,2130,3,3,3,1.0,0.0,1.0,0.0,0.0
6,114600,1780,3,2,2,1.0,0.0,0.0,1.0,0.0
7,151600,1830,3,3,3,0.0,1.0,0.0,0.0,1.0
8,150700,2160,4,2,2,1.0,0.0,0.0,0.0,1.0
9,119200,2110,4,2,3,1.0,0.0,1.0,0.0,0.0
10,104000,1730,3,3,3,1.0,0.0,1.0,0.0,0.0
11,132500,2030,3,2,3,0.0,1.0,1.0,0.0,0.0
12,123000,1870,2,2,2,0.0,1.0,1.0,0.0,0.0
13,102600,1910,3,2,4,1.0,0.0,0.0,1.0,0.0
14,126300,2150,3,3,5,0.0,1.0,0.0,1.0,0.0
15,176800,2590,4,3,4,1.0,0.0,0.0,0.0,1.0
16,145800,1780,4,2,1,1.0,0.0,0.0,0.0,1.0
17,147100,2190,3,3,4,0.0,1.0,1.0,0.0,0.0
18,83600,1990,3,3,4,1.0,0.0,0.0,1.0,0.0
19,111400,1700,2,2,1,0.0,1.0,1.0,0.0,0.0
20,167200,1920,3,3,2,0.0,1.0,0.0,0.0,1.0
21,116200,1790,3,2,3,1.0,0.0,1.0,0.0,0.0
22,113800,2000,3,2,4,1.0,0.0,0.0,1.0,0.0
23,91700,1690,3,2,3,1.0,0.0,0.0,1.0,0.0
24,106100,1820,3,2,3,0.0,1.0,0.0,1.0,0.0
25,156400,2210,4,3,2,0.0,1.0,1.0,0.0,0.0
26,149300,2290,4,3,3,1.0,0.0,0.0,1.0,0.0
27,137000,2000,4,2,3,1.0,0.0,0.0,0.0,1.0
28,99300,1700,3,2,2,1.0,0.0,1.0,0.0,0.0
29,69100,1600,2,2,3,1.0,0.0,0.0,1.0,0.0
30,188000,2040,4,3,1,0.0,1.0,0.0,0.0,1.0
31,182000,2250,4,3,3,0.0,1.0,0.0,0.0,1.0
32,112300,1930,2,2,2,0.0,1.0,0.0,1.0,0.0
33,135000,2250,3,3,3,0.0,1.0,1.0,0.0,0.0
34,139600,2280,5,3,4,0.0,1.0,1.0,0.0,0.0
35,117800,2000,2,2,3,1.0,0.0,0.0,1.0,0.0
36,117100,2080,3,3,3,1.0,0.0,0.0,1.0,0.0
37,117500,1880,2,2,2,1.0,0.0,0.0,1.0,0.0
38,147000,2420,4,3,4,1.0,0.0,0.0,0.0,1.0
39,131300,1720,3,2,1,1.0,0.0,0.0,0.0,1.0
40,108200,1740,3,2,2,1.0,0.0,0.0,1.0,0.0
41,106600,1560,2,2,1,1.0,0.0,1.0,0.0,0.0
42,133600,1840,4,3,2,1.0,0.0,0.0,0.0,1.0
43,105600,1990,2,2,3,1.0,0.0,1.0,0.0,0.0
44,154000,1920,3,2,1,0.0,1.0,1.0,0.0,0.0
45,166500,1940,3,3,2,0.0,1.0,0.0,0.0,1.0
46,103200,1810,3,2,3,1.0,0.0,1.0,0.0,0.0
47,129800,1990,2,3,2,1.0,0.0,0.0,1.0,0.0
48,90300,2050,3,2,6,1.0,0.0,0.0,1.0,0.0
49,115900,1980,2,2,2,1.0,0.0,1.0,0.0,0.0
50,107500,1700,3,2,3,0.0,1.0,0.0,1.0,0.0
51,151100,2100,3,2,3,0.0,1.0,1.0,0.0,0.0
52,91100,1860,2,2,3,1.0,0.0,0.0,1.0,0.0
53,117400,2150,2,3,4,1.0,0.0,0.0,1.0,0.0
54,130800,2100,3,2,3,1.0,0.0,0.0,1.0,0.0
55,81300,1650,3,2,3,1.0,0.0,0.0,1.0,0.0
56,125700,1720,2,2,2,0.0,1.0,1.0,0.0,0.0
57,140900,2190,3,2,3,0.0,1.0,1.0,0.0,0.0
58,152300,2240,4,3,3,1.0,0.0,0.0,0.0,1.0
59,138100,1840,3,3,1,1.0,0.0,0.0,0.0,1.0
60,155400,2090,4,2,1,1.0,0.0,0.0,0.0,1.0
61,180900,2200,3,3,1,1.0,0.0,0.0,0.0,1.0
62,100900,1610,2,2,2,1.0,0.0,0.0,1.0,0.0
63,161300,2220,4,3,2,1.0,0.0,0.0,0.0,1.0
64,120500,1910,2,3,2,1.0,0.0,1.0,0.0,0.0
65,130300,1860,3,2,2,1.0,0.0,0.0,0.0,1.0
66,111100,1450,2,2,1,0.0,1.0,0.0,1.0,0.0
67,126200,2210,3,3,4,1.0,0.0,0.0,1.0,0.0
68,151900,2040,4,3,3,1.0,0.0,1.0,0.0,0.0
69,93600,2140,3,2,4,1.0,0.0,0.0,1.0,0.0
70,165600,2080,4,3,3,1.0,0.0,0.0,0.0,1.0
71,166700,1950,3,3,3,0.0,1.0,0.0,0.0,1.0
72,157600,2160,4,2,1,1.0,0.0,0.0,0.0,1.0
73,107300,1650,3,2,3,1.0,0.0,0.0,1.0,0.0
74,125700,2040,3,3,2,1.0,0.0,1.0,0.0,0.0
75,144200,2140,3,3,3,1.0,0.0,0.0,0.0,1.0
76,106900,1900,2,2,2,1.0,0.0,0.0,1.0,0.0
77,129800,1930,3,2,2,1.0,0.0,0.0,0.0,1.0
78,176500,2280,4,3,3,0.0,1.0,0.0,0.0,1.0
79,121300,2130,3,2,3,1.0,0.0,0.0,1.0,0.0
80,143600,1780,4,2,1,1.0,0.0,0.0,0.0,1.0
81,143400,2190,3,3,4,0.0,1.0,1.0,0.0,0.0
82,184300,2140,4,3,2,0.0,1.0,0.0,0.0,1.0
83,164800,2050,2,2,1,0.0,1.0,0.0,0.0,1.0
84,147700,2410,3,3,2,1.0,0.0,1.0,0.0,0.0
85,90500,1520,2,2,3,1.0,0.0,0.0,1.0,0.0
86,188300,2250,4,3,2,0.0,1.0,0.0,0.0,1.0
87,102700,1900,4,2,4,1.0,0.0,0.0,1.0,0.0
88,172500,1880,3,3,1,0.0,1.0,0.0,0.0,1.0
89,127700,1930,3,3,2,1.0,0.0,0.0,1.0,0.0
90,97800,2010,2,2,4,1.0,0.0,0.0,1.0,0.0
91,143100,1920,4,2,2,1.0,0.0,0.0,0.0,1.0
92,116500,2150,3,2,2,1.0,0.0,1.0,0.0,0.0
93,142600,2110,3,2,2,1.0,0.0,0.0,0.0,1.0
94,157100,2080,3,3,2,1.0,0.0,1.0,0.0,0.0
95,160600,2150,4,3,3,0.0,1.0,0.0,0.0,1.0
96,152500,1970,2,2,1,0.0,1.0,0.0,0.0,1.0
97,133300,2440,3,3,3,1.0,0.0,1.0,0.0,0.0
98,126800,2000,2,2,1,0.0,1.0,1.0,0.0,0.0
99,145500,2060,3,2,1,1.0,0.0,0.0,0.0,1.0
100,171000,2080,3,3,2,0.0,1.0,0.0,0.0,1.0
101,103200,2010,3,2,5,1.0,0.0,0.0,1.0,0.0
102,123100,2260,3,3,5,1.0,0.0,1.0,0.0,0.0
103,136800,2410,3,3,4,1.0,0.0,1.0,0.0,0.0
104,211200,2440,4,3,3,0.0,1.0,0.0,0.0,1.0
105,82300,1910,3,2,4,1.0,0.0,1.0,0.0,0.0
106,146900,2530,4,3,4,1.0,0.0,0.0,0.0,1.0
107,108500,2130,3,2,4,1.0,0.0,0.0,1.0,0.0
108,134000,1890,3,2,1,0.0,1.0,1.0,0.0,0.0
109,117000,1990,3,3,3,0.0,1.0,1.0,0.0,0.0
110,108700,2110,3,2,3,1.0,0.0,1.0,0.0,0.0
111,111600,1710,2,2,1,1.0,0.0,0.0,1.0,0.0
112,114900,1740,2,2,2,1.0,0.0,0.0,1.0,0.0
113,123600,1940,2,2,2,0.0,1.0,1.0,0.0,0.0
114,115700,2000,3,2,3,0.0,1.0,0.0,1.0,0.0
115,124500,2010,4,3,2,1.0,0.0,1.0,0.0,0.0
116,102500,1900,3,3,3,1.0,0.0,0.0,1.0,0.0
117,199500,2290,5,4,1,0.0,1.0,0.0,0.0,1.0
118,117800,1920,3,2,2,1.0,0.0,0.0,1.0,0.0
119,150200,1950,3,2,3,0.0,1.0,0.0,1.0,0.0
120,109700,1920,2,2,4,1.0,0.0,0.0,1.0,0.0
121,110400,1930,2,3,3,1.0,0.0,0.0,1.0,0.0
122,105600,1930,3,3,3,1.0,0.0,1.0,0.0,0.0
123,144800,2060,2,2,1,0.0,1.0,1.0,0.0,0.0
124,119700,1900,3,3,3,0.0,1.0,1.0,0.0,0.0
125,147900,2160,4,3,3,0.0,1.0,1.0,0.0,0.0
