id,title,chanel,Total_Minutes,Total_Views,Duration_in_Seconds,video_url,Views_per_Second,Year,Quarter,Month,Day,Calculated_Views,Cluster,ClusterLabel,Decision Path
1,پخش بازی منچستر سیتی و لیورپول با گزارش عادل فردوسی پور,آپارات اسپرت,1320,139200,22,/v/ils1syc,6327.272727272727,2025,Qtr 1,March,6,139200,2,Low Engagement,4
2,اهنگ جدید رضا صادقی به نام دلبر,رضا صادقی | Reza Sadeghi,8640,105000,176,/v/zcnahw2,596.5909090909091,2025,Qtr 1,March,1,105000,2,Low Engagement,4
3,ایستگاه اول؛ جزیره ی خارگ ️,بهمن گلیج,4320,3200,2134,/v/fpng26w,1.499531396438613,2025,Qtr 1,March,4,3200,0,Medium Engagement,2
4,کمپینگ و ساخت پناهگاه از شاخ و برگ درختان و کاه,راه جنگل,5760,7600,3040,/v/agz0y12,2.5,2025,Qtr 1,March,3,7600,0,Medium Engagement,2
5,مصاحبه با امیر غفارمنش |  کات گپ اول,کات مات ( امید مسعودفر ),1020,578,4403,/v/ulxzgr2,0.1312741312741312,2025,Qtr 1,March,6,578,0,Medium Engagement,2
6,موزیک ویدئوی ماچارتا | یه خانواده پر از امیده,ماچارتا,1440,68700,171,/v/doms8t1,401.7543859649123,2025,Qtr 1,March,6,68700,2,Low Engagement,4
7,آفرود : سفر زمینی تا دل جنگل های بکر ترکیه، یه ولاگ پر از هیجان,آفرود با پیمان,8640,7900,1844,/v/tgh37g3,4.2841648590021695,2025,Qtr 1,March,1,7900,0,Medium Engagement,2
8,یعنی با برش پلاسما جدیدم میتونم چالش اسکوئید گیم رو برم و زنده بمونم ؟؟,گریپاژ,4320,11700,892,/v/axmaog4,13.116591928251122,2025,Qtr 1,March,4,11700,0,Medium Engagement,2
9,آهنگ جدید سهیل مهرزادگان به نام یه من یه تو,سهیل مهرزادگان | Soheil Mehrzadegan,2880,22100,215,/v/ick90a2,102.7906976744186,2025,Qtr 1,March,5,22100,0,Medium Engagement,2
10,روستای مادربزرگ-برف بازی,روستا گردی,7200,11800,664,/v/aiz3u91,17.771084337349397,2025,Qtr 1,March,2,11800,0,Medium Engagement,2
11,کمپینگ و ساخت کلبه چوبی اسرار آمیز در جنگل,کمپینگ شمالی,5760,10200,1037,/v/esw6hpp,9.836065573770492,2025,Qtr 1,March,3,10200,0,Medium Engagement,2
12,پادکست مجلۀ فیلم آرا - قسمت ۹: فیلم خوب، فیلم بد (همراه با امیر قادری),فیلم‌آرا | FilmAra,5760,3300,996,/v/gyv5863,3.3132530120481927,2025,Qtr 1,March,3,3300,0,Medium Engagement,2
14,آهنگ جدید مهیار به نام دد لاین,Mahyar | مهیار,8640,20900,213,/v/rgff57x,98.12206572769954,2025,Qtr 1,March,1,20900,0,Medium Engagement,2
15,آهنگ جدید مهدی جهانی به نام دلم,مهدی جهانی | Mehdi Jahani,10080,119100,195,/v/yuk8j09,610.7692307692307,2025,Qtr 1,February,28,119100,2,Low Engagement,4
